Male,Russia,60,Machine Learning Engineer,Python,Doctoral degree,Physics,More than 10 years,
Female,United States,24,Software Developer/Software Engineer,Python,Master's degree,Electrical Engineering,3 to 5 years,A master's degree
Male,India,22,,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,Switzerland,53,,,,,,
Female,United States,37,Computer Scientist,R,Bachelor's degree,Computer Science,More than 10 years,A bachelor's degree
Male,United States,26,,Python,Master's degree,Physics,,A doctoral degree
Male,Mexico,36,Engineer,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,A bachelor's degree
Male,Ukraine,37,Engineer,Python,Master's degree,Engineering (non-computer focused),I don't write code to analyze data,A master's degree
Male,United Kingdom,27,Machine Learning Engineer,Python,Master's degree,Other,Less than a year,A bachelor's degree
Male,United States,31,Data Analyst,R,Master's degree,Psychology,3 to 5 years,A doctoral degree
Male,United States,30,Other,Python,Bachelor's degree,A humanities discipline,Less than a year,A doctoral degree
Male,United States,40,Business Analyst,R,Master's degree,A social science,6 to 10 years,High school
Male,Mexico,70,Researcher,R,Master's degree,Engineering (non-computer focused),6 to 10 years,Primary/elementary school
Female,United States,25,Data Scientist,SQL,Master's degree,,3 to 5 years,
Male,United States,27,Data Scientist,R,Master's degree,Mathematics or statistics,3 to 5 years,A doctoral degree
Male,Turkey,22,,Java,Some college/university study without earning a bachelor's degree,Computer Science,I don't write code to analyze data,High school
Female,Russia,23,Data Scientist,R,Master's degree,Mathematics or statistics,1 to 2 years,A doctoral degree
Male,United States,22,,Python,Bachelor's degree,Computer Science,1 to 2 years,Primary/elementary school
Male,United States,28,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,Less than a year,A doctoral degree
Male,Russia,30,Engineer,Python,Master's degree,Computer Science,Less than a year,A master's degree
Male,Brazil,20,Engineer,Python,I prefer not to answer,Electrical Engineering,1 to 2 years,
Male,United States,47,,Python,Bachelor's degree,Computer Science,Less than a year,A master's degree
Male,Brazil,48,Other,R,Bachelor's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Male,Canada,38,Scientist/Researcher,R,Master's degree,Other,More than 10 years,"Some college/university study, no bachelor's degree"
Male,Canada,63,,R,Master's degree,Engineering (non-computer focused),More than 10 years,A bachelor's degree
Male,United States,29,Data Scientist,Python,Master's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Male,United States,40,Software Developer/Software Engineer,Java,Bachelor's degree,Electrical Engineering,More than 10 years,A master's degree
Male,United States,25,Computer Scientist,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Russia,26,,,,,,
Male,Republic of China,19,,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,United States,52,,R,Master's degree,Engineering (non-computer focused),1 to 2 years,A master's degree
Male,United States,31,Data Scientist,Matlab,Master's degree,Engineering (non-computer focused),More than 10 years,A bachelor's degree
Male,Poland,36,Business Analyst,Python,Master's degree,A social science,3 to 5 years,A professional degree
Male,United States,39,,R,Master's degree,A health science,I don't write code to analyze data,High school
Female,United States,25,Predictive Modeler,Python,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,United States,36,Other,R,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Female,United States,48,Data Scientist,Python,Doctoral degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,United States,67,Computer Scientist,Python,Doctoral degree,A humanities discipline,More than 10 years,
Male,India,21,,Python,Bachelor's degree,Engineering (non-computer focused),,High school
Male,United States,53,,Python,Bachelor's degree,Mathematics or statistics,,High school
Male,Other,35,Machine Learning Engineer,Python,Doctoral degree,Computer Science,1 to 2 years,Primary/elementary school
Female,Portugal,49,Statistician,R,Doctoral degree,Mathematics or statistics,More than 10 years,High school
Male,United States,20,,R,Some college/university study without earning a bachelor's degree,Mathematics or statistics,,A bachelor's degree
Male,United States,28,Data Analyst,Python,Master's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Male,Ukraine,33,Software Developer/Software Engineer,Python,Master's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,24,Other,Python,Doctoral degree,Other,3 to 5 years,A master's degree
Male,United States,37,Data Scientist,Python,Master's degree,Engineering (non-computer focused),More than 10 years,A doctoral degree
Female,United States,23,,,,,,
Male,France,57,Data Scientist,R,Master's degree,Mathematics or statistics,6 to 10 years,A professional degree
Male,Germany,23,Machine Learning Engineer,Python,Master's degree,Computer Science,1 to 2 years,A professional degree
Male,United Kingdom,38,Data Scientist,Python,Master's degree,Engineering (non-computer focused),More than 10 years,A master's degree
Male,Netherlands,26,,R,Master's degree,A social science,3 to 5 years,A bachelor's degree
Male,France,25,,Python,Master's degree,Mathematics or statistics,Less than a year,Primary/elementary school
Male,Brazil,20,,Python,Some college/university study without earning a bachelor's degree,Electrical Engineering,Less than a year,A bachelor's degree
Male,Germany,41,Data Scientist,Python,Doctoral degree,Computer Science,More than 10 years,A master's degree
Female,Israel,38,Data Scientist,Java,Doctoral degree,Computer Science,More than 10 years,A doctoral degree
Male,United Kingdom,33,,Python,Master's degree,"Information technology, networking, or system administration",Less than a year,High school
Male,United States,32,Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Mexico,26,,Python,Master's degree,Computer Science,,A bachelor's degree
Female,United States,30,Data Scientist,Python,Doctoral degree,Physics,6 to 10 years,A master's degree
Male,United States,39,Data Scientist,SQL,Master's degree,Computer Science,More than 10 years,A bachelor's degree
Male,United States,34,Researcher,Python,Bachelor's degree,Electrical Engineering,More than 10 years,A bachelor's degree
Female,United States,37,Other,Python,Master's degree,Other,3 to 5 years,A bachelor's degree
Male,United States,56,Software Developer/Software Engineer,Python,Master's degree,Physics,3 to 5 years,Primary/elementary school
Male,United States,32,Statistician,Python,Master's degree,Mathematics or statistics,More than 10 years,A master's degree
Male,Egypt,23,,Python,Bachelor's degree,Electrical Engineering,Less than a year,"Some college/university study, no bachelor's degree"
Female,United States,38,,R,Doctoral degree,Engineering (non-computer focused),6 to 10 years,A master's degree
Female,United States,34,Researcher,Python,Doctoral degree,Mathematics or statistics,6 to 10 years,A professional degree
Male,United Kingdom,32,Machine Learning Engineer,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,Australia,32,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,More than 10 years,A bachelor's degree
Female,United States,23,,Python,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,A doctoral degree
Male,Brazil,28,Other,Python,Bachelor's degree,Other,1 to 2 years,A bachelor's degree
Female,Portugal,35,,,,,,
Male,United States,30,Data Scientist,Python,Doctoral degree,Physics,3 to 5 years,A bachelor's degree
Male,United States,49,Statistician,Python,Doctoral degree,Mathematics or statistics,More than 10 years,A doctoral degree
Female,United States,23,,Python,Bachelor's degree,Physics,3 to 5 years,A professional degree
Male,Brazil,37,Scientist/Researcher,R,Master's degree,Computer Science,6 to 10 years,High school
Male,United Kingdom,32,Data Analyst,Python,Master's degree,Mathematics or statistics,3 to 5 years,I prefer not to answer
Male,Spain,59,,,,,,
Male,United States,45,Software Developer/Software Engineer,Matlab,Master's degree,Electrical Engineering,More than 10 years,A master's degree
Female,United States,30,Business Analyst,SQL,Master's degree,,3 to 5 years,High school
Male,United States,21,Engineer,,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,A doctoral degree
Male,People 's Republic of China,25,,Python,Master's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Male,Brazil,54,,,,,,
Male,Netherlands,31,Software Developer/Software Engineer,Python,Master's degree,Physics,Less than a year,High school
Female,United States,28,Data Scientist,Python,Bachelor's degree,Fine arts or performing arts,1 to 2 years,A doctoral degree
Male,United States,36,Engineer,Python,Master's degree,Electrical Engineering,More than 10 years,A master's degree
Male,Canada,31,Data Scientist,R,Master's degree,Computer Science,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,United States,25,,Python,Master's degree,A humanities discipline,,A professional degree
Male,United States,22,Researcher,Python,Bachelor's degree,Computer Science,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Singapore,48,Predictive Modeler,Python,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,I prefer not to answer
Male,United States,21,Data Scientist,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,A master's degree
Male,India,35,Data Analyst,,Master's degree,Computer Science,More than 10 years,High school
Male,South Korea,25,,,,,,
Male,United States,28,Machine Learning Engineer,Python,Master's degree,Mathematics or statistics,3 to 5 years,A master's degree
Female,Australia,24,,R,Master's degree,Other,1 to 2 years,A bachelor's degree
Male,United States,,Other,Python,Master's degree,Electrical Engineering,6 to 10 years,A bachelor's degree
Male,Taiwan,27,Machine Learning Engineer,Stata,Master's degree,Computer Science,1 to 2 years,High school
Male,Republic of China,24,,Python,Bachelor's degree,Computer Science,,I don't know/not sure
Male,United States,57,Engineer,Matlab,Doctoral degree,Electrical Engineering,More than 10 years,High school
Male,United States,46,Engineer,R,Bachelor's degree,Engineering (non-computer focused),More than 10 years,A doctoral degree
Male,Australia,26,,R,Bachelor's degree,Computer Science,,A bachelor's degree
Male,Other,34,,,,,,
Female,Australia,47,,C/C++/C#,Bachelor's degree,Psychology,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,Australia,23,,,,,,
Male,France,41,Data Scientist,Python,Doctoral degree,A health science,6 to 10 years,I don't know/not sure
Male,Taiwan,28,Data Analyst,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,United States,25,Data Scientist,Python,Master's degree,Physics,1 to 2 years,A doctoral degree
Male,United States,39,Other,Python,Master's degree,Other,More than 10 years,A bachelor's degree
Male,India,24,,,,,,
Male,Russia,19,Scientist/Researcher,Matlab,Bachelor's degree,Physics,3 to 5 years,A doctoral degree
Male,United States,56,Engineer,Matlab,Doctoral degree,Physics,More than 10 years,A bachelor's degree
Male,Indonesia,22,,Python,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,United States,23,Data Scientist,,Some college/university study without earning a bachelor's degree,Biology,Less than a year,High school
Female,United States,39,Other,Python,Master's degree,Biology,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,Iran,24,,,I did not complete any formal education past high school,,,
Male,India,25,Data Scientist,Python,Professional degree,,Less than a year,
Male,India,32,Business Analyst,Python,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Other,31,Business Analyst,R,Doctoral degree,Mathematics or statistics,3 to 5 years,I prefer not to answer
Male,People 's Republic of China,20,,Python,Some college/university study without earning a bachelor's degree,Computer Science,,High school
Female,Hong Kong,37,Researcher,R,Doctoral degree,Physics,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,Japan,26,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,People 's Republic of China,22,Data Analyst,C/C++/C#,Bachelor's degree,Computer Science,Less than a year,
Male,United States,21,Data Analyst,Python,Bachelor's degree,Mathematics or statistics,1 to 2 years,A doctoral degree
Male,India,21,Software Developer/Software Engineer,Python,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,A bachelor's degree
Male,United Kingdom,47,,Python,Master's degree,Computer Science,3 to 5 years,Primary/elementary school
Male,Iran,24,Software Developer/Software Engineer,Python,Master's degree,Computer Science,1 to 2 years,High school
Male,Iran,38,Machine Learning Engineer,Matlab,Master's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,India,21,Software Developer/Software Engineer,C/C++/C#,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,People 's Republic of China,32,,Python,Master's degree,Computer Science,6 to 10 years,
Male,United States,35,Data Analyst,Python,Master's degree,Mathematics or statistics,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,India,21,,Python,Bachelor's degree,Other,1 to 2 years,A professional degree
Male,Indonesia,25,Software Developer/Software Engineer,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,High school
Male,Turkey,32,Other,Python,Bachelor's degree,Computer Science,1 to 2 years,Primary/elementary school
Male,India,27,DBA/Database Engineer,SQL,Bachelor's degree,Computer Science,3 to 5 years,A doctoral degree
Male,Japan,24,Engineer,Python,Master's degree,Engineering (non-computer focused),Less than a year,High school
Male,United States,34,Software Developer/Software Engineer,Python,Bachelor's degree,Engineering (non-computer focused),6 to 10 years,A master's degree
A different identity,India,20,,Python,Professional degree,,,
Female,Iran,27,Researcher,Python,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Switzerland,28,,Python,Doctoral degree,Engineering (non-computer focused),3 to 5 years,A doctoral degree
Male,Taiwan,21,,Python,Bachelor's degree,Computer Science,,A bachelor's degree
Male,Other,37,Software Developer/Software Engineer,Matlab,Master's degree,Computer Science,6 to 10 years,A master's degree
Male,South Africa,32,Software Developer/Software Engineer,Python,Bachelor's degree,,Less than a year,High school
Female,India,36,Predictive Modeler,Python,Bachelor's degree,Computer Science,6 to 10 years,A bachelor's degree
Male,India,19,,Matlab,I did not complete any formal education past high school,,,A master's degree
Male,Italy,26,Researcher,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,Russia,65,Data Scientist,R,Doctoral degree,Psychology,I don't write code to analyze data,A doctoral degree
Female,India,21,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Australia,40,,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,Australia,47,,R,Bachelor's degree,Mathematics or statistics,6 to 10 years,High school
Female,India,32,Other,,Master's degree,Computer Science,6 to 10 years,A bachelor's degree
Male,Egypt,33,Other,R,Bachelor's degree,Electrical Engineering,6 to 10 years,A doctoral degree
Male,Italy,46,Scientist/Researcher,Python,Doctoral degree,Computer Science,More than 10 years,A master's degree
Male,Germany,55,Researcher,R,Master's degree,,More than 10 years,"Some college/university study, no bachelor's degree"
Male,Netherlands,21,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,Less than a year,A master's degree
Male,Taiwan,39,Other,Python,Professional degree,,1 to 2 years,High school
Male,India,22,Data Scientist,Python,Bachelor's degree,Computer Science,Less than a year,No education
Male,India,25,Data Scientist,Python,Bachelor's degree,Computer Science,3 to 5 years,
Male,Italy,32,Software Developer/Software Engineer,Python,Master's degree,"Information technology, networking, or system administration",3 to 5 years,A doctoral degree
Male,Sweden,37,,Python,Bachelor's degree,Other,,A bachelor's degree
Male,United States,37,Software Developer/Software Engineer,R,Bachelor's degree,Computer Science,6 to 10 years,A bachelor's degree
Male,India,35,Computer Scientist,,Master's degree,Computer Science,3 to 5 years,
Male,India,41,Data Analyst,R,Master's degree,,3 to 5 years,High school
Male,Republic of China,41,,Python,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),1 to 2 years,High school
Male,United States,55,Operations Research Practitioner,R,Master's degree,Physics,More than 10 years,A master's degree
Male,Greece,23,,Python,Master's degree,Computer Science,,High school
Male,Ukraine,23,Other,Scala,Master's degree,Physics,6 to 10 years,High school
Male,Other,47,,,,,,
Male,United States,39,Statistician,SAS,Doctoral degree,Engineering (non-computer focused),More than 10 years,A bachelor's degree
Male,Spain,26,Data Analyst,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,A master's degree
A different identity,Other,28,Engineer,,Master's degree,,,
Male,Malaysia,29,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Female,Poland,27,Scientist/Researcher,Python,Master's degree,Computer Science,3 to 5 years,A doctoral degree
Male,Israel,32,Software Developer/Software Engineer,Python,I did not complete any formal education past high school,,3 to 5 years,A bachelor's degree
Male,United Kingdom,39,Business Analyst,Python,Bachelor's degree,"Information technology, networking, or system administration",6 to 10 years,A master's degree
Male,Colombia,43,Researcher,SAS,Master's degree,Engineering (non-computer focused),More than 10 years,"Some college/university study, no bachelor's degree"
Female,United Kingdom,24,,Python,Bachelor's degree,Mathematics or statistics,1 to 2 years,A bachelor's degree
Female,Hungary,26,Scientist/Researcher,Python,Master's degree,A health science,3 to 5 years,Primary/elementary school
Male,India,49,Other,Matlab,Doctoral degree,Electrical Engineering,More than 10 years,A master's degree
Male,India,32,Data Analyst,R,Master's degree,,1 to 2 years,A master's degree
Female,India,22,,,,,,
Female,Iran,31,,Python,Master's degree,Computer Science,I don't write code to analyze data,A bachelor's degree
Male,South Africa,28,Data Scientist,R,Master's degree,Mathematics or statistics,6 to 10 years,A bachelor's degree
Male,Russia,20,Programmer,Python,Some college/university study without earning a bachelor's degree,Other,1 to 2 years,A doctoral degree
Male,Other,54,Data Scientist,Python,Master's degree,Electrical Engineering,6 to 10 years,A professional degree
Male,Italy,44,Engineer,R,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,High school
Male,United States,26,Engineer,Python,Bachelor's degree,Computer Science,Less than a year,A professional degree
Male,Kenya,42,Other,R,Master's degree,Other,I don't write code to analyze data,No education
Female,Russia,22,Data Scientist,Java,Bachelor's degree,Computer Science,Less than a year,A master's degree
Female,United States,65,Data Analyst,R,Master's degree,Mathematics or statistics,3 to 5 years,High school
Male,India,45,,R,Master's degree,Other,3 to 5 years,A bachelor's degree
Female,United States,30,Data Analyst,Python,Doctoral degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Male,Russia,23,Data Analyst,Python,Master's degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,Other,51,Other,Python,Doctoral degree,Mathematics or statistics,Less than a year,Primary/elementary school
Male,India,24,,SQL,Bachelor's degree,Other,Less than a year,I prefer not to answer
Female,United States,,Researcher,Stata,Doctoral degree,A social science,More than 10 years,High school
Male,United States,57,,R,Master's degree,Electrical Engineering,,A doctoral degree
Male,Germany,29,,R,Bachelor's degree,A social science,,High school
Male,United Kingdom,26,,Python,Master's degree,Biology,1 to 2 years,High school
Male,Israel,24,Programmer,Scala,Bachelor's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,Colombia,27,Data Scientist,R,Master's degree,Mathematics or statistics,6 to 10 years,A doctoral degree
Male,France,25,,Python,Master's degree,Computer Science,1 to 2 years,A professional degree
Male,Ukraine,24,Machine Learning Engineer,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,A master's degree
Female,United States,46,Business Analyst,R,Master's degree,,More than 10 years,A bachelor's degree
Male,Spain,49,Data Scientist,R,Master's degree,Physics,More than 10 years,Primary/elementary school
Male,Spain,49,Engineer,Matlab,Doctoral degree,Other,1 to 2 years,A bachelor's degree
Male,United States,62,,Python,Bachelor's degree,A health science,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,France,34,Other,Python,Doctoral degree,Mathematics or statistics,More than 10 years,"Some college/university study, no bachelor's degree"
Female,Other,27,,,,,,
Male,Mexico,36,Researcher,Python,Master's degree,Electrical Engineering,6 to 10 years,Primary/elementary school
Male,Other,30,Other,Python,Doctoral degree,Physics,1 to 2 years,A bachelor's degree
Male,Colombia,38,Scientist/Researcher,Python,Doctoral degree,Mathematics or statistics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Italy,42,Software Developer/Software Engineer,Python,Bachelor's degree,Physics,More than 10 years,Primary/elementary school
Male,Other,31,Data Scientist,,Master's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Female,United States,54,Business Analyst,Python,Master's degree,Mathematics or statistics,More than 10 years,A master's degree
Male,Brazil,40,Engineer,Python,Professional degree,,I don't write code to analyze data,"Some college/university study, no bachelor's degree"
Male,United States,55,,,,,,
Male,Mexico,55,Statistician,R,Master's degree,Mathematics or statistics,3 to 5 years,Primary/elementary school
Male,United Kingdom,54,Other,R,Bachelor's degree,A social science,I don't write code to analyze data,High school
Female,United Kingdom,27,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,Poland,29,Other,Python,Master's degree,Computer Science,1 to 2 years,A doctoral degree
Male,United States,32,Data Scientist,SQL,Master's degree,Engineering (non-computer focused),6 to 10 years,A bachelor's degree
Female,Russia,27,Researcher,R,Master's degree,Other,Less than a year,A bachelor's degree
Male,Indonesia,20,,R,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,United Kingdom,49,Data Scientist,R,Doctoral degree,Biology,More than 10 years,A professional degree
Male,India,29,Business Analyst,R,Master's degree,Other,Less than a year,A bachelor's degree
Male,United States,39,Machine Learning Engineer,Python,Doctoral degree,Engineering (non-computer focused),3 to 5 years,A doctoral degree
Female,United States,28,Data Scientist,Python,Master's degree,Other,6 to 10 years,A master's degree
Male,United States,29,Researcher,R,Master's degree,A social science,3 to 5 years,A doctoral degree
Male,United States,36,Data Scientist,Python,Doctoral degree,Physics,More than 10 years,High school
Male,Brazil,44,Machine Learning Engineer,R,Doctoral degree,Engineering (non-computer focused),More than 10 years,A bachelor's degree
Female,Taiwan,21,,Java,Bachelor's degree,Management information systems,,High school
Male,United States,28,Data Analyst,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,High school
Female,Spain,40,,R,Master's degree,Computer Science,Less than a year,A bachelor's degree
Male,Canada,43,,Python,Master's degree,Engineering (non-computer focused),,A bachelor's degree
Male,Italy,23,,Python,Master's degree,Computer Science,,A bachelor's degree
Male,South Africa,25,Data Scientist,R,I prefer not to answer,Mathematics or statistics,3 to 5 years,I prefer not to answer
Male,Brazil,32,Data Analyst,R,Bachelor's degree,Electrical Engineering,1 to 2 years,A bachelor's degree
Male,Other,39,Other,R,Master's degree,Mathematics or statistics,More than 10 years,A bachelor's degree
Female,United States,28,Data Scientist,Python,Bachelor's degree,Psychology,3 to 5 years,A professional degree
Male,Japan,26,Machine Learning Engineer,Python,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,People 's Republic of China,34,Data Scientist,Python,Doctoral degree,Electrical Engineering,6 to 10 years,A bachelor's degree
Female,Ukraine,24,Business Analyst,R,Master's degree,Mathematics or statistics,I don't write code to analyze data,"Some college/university study, no bachelor's degree"
Male,United Kingdom,33,Data Analyst,R,Bachelor's degree,Physics,3 to 5 years,High school
Male,United States,50,Computer Scientist,C/C++/C#,Doctoral degree,Engineering (non-computer focused),More than 10 years,I don't know/not sure
Female,India,20,,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,A bachelor's degree
Male,United Kingdom,36,Researcher,C/C++/C#,Doctoral degree,Mathematics or statistics,More than 10 years,A professional degree
Male,Denmark,35,Business Analyst,SQL,Master's degree,,6 to 10 years,Primary/elementary school
Female,United States,48,Data Analyst,SQL,Master's degree,Management information systems,6 to 10 years,A bachelor's degree
Male,Russia,22,,Python,Bachelor's degree,,1 to 2 years,A master's degree
Male,Other,24,,Python,Bachelor's degree,Computer Science,Less than a year,High school
Male,India,27,Statistician,R,Master's degree,Mathematics or statistics,1 to 2 years,No education
Female,United States,,,,,,,
Male,United States,51,Data Scientist,Python,Doctoral degree,Physics,More than 10 years,A professional degree
"Non-binary, genderqueer, or gender non-conforming",United States,32,Other,R,Master's degree,Biology,Less than a year,High school
Male,Brazil,35,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,High school
A different identity,Nigeria,20,Computer Scientist,Python,Bachelor's degree,Computer Science,Less than a year,High school
Male,Israel,36,,,,,,
Male,Belgium,33,Business Analyst,R,Master's degree,,6 to 10 years,High school
Male,United States,33,Data Scientist,R,Master's degree,Mathematics or statistics,3 to 5 years,A doctoral degree
Male,United States,38,,Python,Doctoral degree,Other,3 to 5 years,A professional degree
Male,Australia,49,,,,,,
Male,Brazil,34,Scientist/Researcher,Python,Doctoral degree,Electrical Engineering,More than 10 years,High school
Male,United States,24,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,United States,25,Software Developer/Software Engineer,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,Other,35,Data Scientist,Java,Doctoral degree,Computer Science,Less than a year,I prefer not to answer
Male,United States,53,Software Developer/Software Engineer,SQL,Some college/university study without earning a bachelor's degree,Computer Science,More than 10 years,High school
Male,Australia,50,Data Miner,Python,Master's degree,Mathematics or statistics,More than 10 years,A bachelor's degree
Male,United States,38,Engineer,Python,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,France,23,Statistician,Other,Master's degree,Other,6 to 10 years,A professional degree
Male,Canada,20,,Python,Some college/university study without earning a bachelor's degree,Other,,A master's degree
Male,Italy,50,Software Developer/Software Engineer,R,Bachelor's degree,Physics,3 to 5 years,Primary/elementary school
Male,United States,54,Predictive Modeler,Python,Doctoral degree,Mathematics or statistics,More than 10 years,A bachelor's degree
Male,Other,24,Software Developer/Software Engineer,Python,Bachelor's degree,"Information technology, networking, or system administration",I don't write code to analyze data,A bachelor's degree
A different identity,United States,35,Data Scientist,Python,Doctoral degree,Mathematics or statistics,6 to 10 years,A bachelor's degree
Male,Indonesia,35,Data Analyst,R,Master's degree,Mathematics or statistics,1 to 2 years,A doctoral degree
Male,United States,26,Software Developer/Software Engineer,Python,Master's degree,Electrical Engineering,1 to 2 years,A master's degree
Female,Spain,34,Researcher,R,Doctoral degree,A health science,6 to 10 years,A doctoral degree
Female,United States,52,Data Scientist,Python,Doctoral degree,Mathematics or statistics,More than 10 years,A professional degree
Male,United States,50,Operations Research Practitioner,R,Doctoral degree,Engineering (non-computer focused),More than 10 years,A bachelor's degree
Male,Canada,35,Data Scientist,Python,Doctoral degree,Electrical Engineering,6 to 10 years,A bachelor's degree
Male,United States,63,Data Scientist,Python,Doctoral degree,Mathematics or statistics,More than 10 years,
Female,United States,22,Other,R,Bachelor's degree,A social science,1 to 2 years,A bachelor's degree
Female,Australia,36,Data Scientist,Python,Doctoral degree,Mathematics or statistics,More than 10 years,A bachelor's degree
Male,Egypt,23,Programmer,,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,Australia,27,Data Miner,R,Master's degree,Mathematics or statistics,1 to 2 years,A master's degree
Male,United States,29,Other,Python,Bachelor's degree,,6 to 10 years,A bachelor's degree
Male,Canada,37,Business Analyst,Python,Bachelor's degree,Electrical Engineering,6 to 10 years,High school
Male,United States,22,Data Scientist,Python,Bachelor's degree,,1 to 2 years,A master's degree
Male,United States,30,Data Scientist,Python,Doctoral degree,Electrical Engineering,6 to 10 years,A bachelor's degree
Male,United States,31,Other,Python,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,High school
Male,India,21,Data Scientist,Python,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Male,United States,46,Other,Python,Master's degree,Biology,More than 10 years,A master's degree
Male,India,35,Data Scientist,C/C++/C#,Master's degree,Computer Science,I don't write code to analyze data,A bachelor's degree
Female,United States,34,Scientist/Researcher,Python,Doctoral degree,Mathematics or statistics,More than 10 years,A doctoral degree
Female,Australia,33,,R,Bachelor's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Male,United States,36,Data Scientist,Python,Master's degree,Mathematics or statistics,More than 10 years,A bachelor's degree
Female,United States,35,Other,R,Professional degree,,Less than a year,A professional degree
Male,United States,28,Data Scientist,SQL,Bachelor's degree,,3 to 5 years,A bachelor's degree
,,,,Python,,Mathematics or statistics,,
Male,Israel,40,Data Scientist,Other,Doctoral degree,Computer Science,More than 10 years,A master's degree
Male,Poland,21,Data Scientist,R,Bachelor's degree,Other,1 to 2 years,A bachelor's degree
Male,United States,29,Data Scientist,Python,Master's degree,Mathematics or statistics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Hungary,25,Machine Learning Engineer,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,"Some college/university study, no bachelor's degree"
Female,Ukraine,26,Data Scientist,Python,Master's degree,,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,United States,45,Engineer,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Male,India,34,Business Analyst,R,Master's degree,Other,More than 10 years,A doctoral degree
Male,United States,25,Researcher,R,Master's degree,Other,1 to 2 years,
Male,Israel,26,,,,,,
